invoice_file,invoice_id,invoice_po_number,invoice_services,po_file,po_description,contract_file,contract_id,contract_sow_summary
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Aegis_PO-2025-304A.json,INV-AEG-2025-001,PO-2025-304A,SSO discovery and design | MFA integration spike,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Aegis.json,SSO and MFA foundation work for Project Aegis.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Aegis.json,CON-TECH-2025-004,"Develop a zero-trust identity platform for Project Aegis, integrating SSO, MFA, and device posture checks."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Atlas_PO-2025-302A.json,INV-ATL-2025-001,PO-2025-302A,Event ingestion setup | Streaming connector configuration,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Atlas.json,Event ingestion pipelines for Project Atlas.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Atlas.json,CON-TECH-2025-002,"Build a real-time analytics dashboard for Project Atlas, including event ingestion pipelines, stream processing, and interactive data visualizations."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Aurora_PO-2025-310A.json,INV-AUR-2025-001,PO-2025-310A,Data labeling | Model training,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Aurora.json,Data labeling and model training for personalization.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Aurora.json,CON-TECH-2025-010,"Develop machine learning pipelines for personalization including data labeling, model training, and A/B rollout."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Delta_PO-2025-306A.json,INV-DEL-2025-001,PO-2025-306A,Data platform ingestion | Quality checks setup,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Delta.json,Lakehouse ingestion and quality checks for Project Delta.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Delta.json,CON-TECH-2025-006,"Design and implement a unified data platform with a lakehouse architecture, including data ingestion, quality checks, and governance."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Helios_PO-2025-303A.json,INV-HEL-2025-001,PO-2025-303A,Service decomposition planning | Database redesign workshop,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Helios.json,Service decomposition and database redesign for Project Helios.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Helios.json,CON-TECH-2025-003,"Migrate the legacy monolith to a modular service architecture for Project Helios, including DB schema redesign and CI/CD pipelines."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Horizon_PO-2025-308A.json,INV-HOR-2025-001,PO-2025-308A,Feature flag rollout | Experimentation framework setup,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Horizon.json,Feature flag platform implementation.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Horizon.json,CON-TECH-2025-008,"Implement a feature flag platform and experimentation framework, including SDK integration and guardrail metrics."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Nimbus_PO-2025-307A.json,INV-NIM-2025-001,PO-2025-307A,GitOps enablement | Cluster hardening,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Nimbus.json,GitOps enablement for Project Nimbus.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Nimbus.json,CON-TECH-2025-007,"Modernize Kubernetes platform with GitOps, progressive delivery, and cost optimization for multi-tenant workloads."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Orion_PO-2025-301A.json,INV-ORI-2025-001,PO-2025-301A,Microservices development sprint | Architecture & design hours,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Orion.json,Initial backend microservices development for Project Orion.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Orion.json,CON-TECH-2025-001,"Supplier to design and implement a greenfield microservices backend for Project Orion, including authentication, billing integration, and observability."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Vortex_PO-2025-309A.json,INV-VOR-2025-001,PO-2025-309A,Federated GraphQL setup | Rate limiting policies,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Vortex.json,Federated GraphQL and rate limiting for Project Vortex.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Vortex.json,CON-TECH-2025-009,"Re-architect API gateway with federated GraphQL, rate limiting, and zero-downtime deploys."
/Users/mzim/ADK/ResolveLight/json_files/invoices/invoice_Zephyr_PO-2025-305A.json,INV-ZEP-2025-001,PO-2025-305A,Mobile foundation sprint | Design system components,/Users/mzim/ADK/ResolveLight/json_files/POs/POs_Zephyr.json,Cross-platform mobile app foundation for Project Zephyr.,/Users/mzim/ADK/ResolveLight/json_files/contracts/contract_Zephyr.json,CON-TECH-2025-005,"Create a cross-platform mobile app for Project Zephyr, featuring offline sync, push notifications, and secure file sharing."
